type,detail,comment,raw_code,label
Methods should not be empty,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",why deserialize do not implementation？ How to deserialize this execution plan?,  public void deserialize(ByteBuffer buffer) throws IllegalPathException {},0
"""switch"" statements should not have too many ""case"" clauses",Reduce the number of non-empty switch cases from 130 to at most 30.,I think you missed the `readFields()` method of `JournalEntity.java`,                case OperationType.OP_CREATE_SQL_BLOCK_RULE: {,0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""Cost: {} ms, sql is {}"" 4 times.","          SLOW_SQL_LOGGER.info(""Cost: {} ms, sql is {}"", costTime, statement);","          SLOW_SQL_LOGGER.info(""Cost: {} ms, sql is {}"", costTime, t1);",0
Static non-final field names should comply with a naming convention,"Rename this field ""max_stream_load_timeout_second"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","You need to set the default value to a large value, I suggest to be same as `max_load_timeout_second`.
Otherwise, after online, some existing load job may fail to be submitted.",    public static int max_stream_load_timeout_second = 600; // 600s,0
"Unused ""private"" fields should be removed","Remove this unused ""sparkContext"" private field.",Looks like we don't need this var anymore.,  private final JavaSparkContext sparkContext;,1
Null pointers should not be dereferenced,"A ""NullPointerException"" could be thrown; ""series"" is nullable here.","The `||` operation on `series != null` and `series.getValues().size() == 0` is somewhat confusing, is it a mistake?",        if (series != null || series.getValues().size() == 0) {,0
Null pointers should not be dereferenced,"A ""NullPointerException"" could be thrown; ""fieldSpec"" is nullable here.",This check is redundant. We already checked in the previous part and both of them are not `null`,      if ((fieldSpec == null && oldSchemaFieldSpec != null) || (fieldSpec != null && oldSchemaFieldSpec == null)) {,1
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""test1"" 5 times.","""http"" replace to pcTypeEnum.HTTP.getName()","        list.add(URIRegisterDTO.builder().appName(""test1"").rpcType(""http"").host(""localhost"").port(8091).build());",0
Unnecessary imports should be removed,Remove this unused import 'com.sun.rowset.internal.Row'.,what's this for?,import com.sun.rowset.internal.Row;,1
"""public static"" fields should be constant","Make this ""public static bdbje_lock_timeout_second"" field final",Is 1 second enough for most cases?,    public static int bdbje_lock_timeout_second = 1;,0
Generic exceptions should never be thrown,Define and throw a dedicated exception instead of using a generic one.,Nice!,  public void signatureTestWhiteSpace() throws Exception{,0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""SitemapProcessor_"" 3 times.","I know it was already there: maybe simplify the job name in the message to simply ""SitemapProcessor"" and leave the path to the CrawlDb away?","            ""SitemapProcessor_"" + crawldb.toString(), job);",0
Utility classes should not have public constructors,Add a private constructor to hide the implicit public one.,"It is not a mock register center, it is real. Better to rename it ",public class MockedRegistryCenter {,0
"Non-primitive fields should not be ""volatile""","Use a thread-safe type; adding ""volatile"" is not enough to make this field thread-safe.", Are we still need this factory?,"    public volatile Map<UUID, AtomicLong> allRcvdMsgsMetricsByNodeId = new HashMap<>();",1
Modifiers should be declared in the correct order,Reorder the modifiers to comply with the Java Language Specification.,"Strange parameters. I'd expect the method to call `WindowManager.getDefault()` itself.

Shouldn't the method return `Mode` or `null`? How can one distinguish between success and failure?","    public final static void createModeFromXml(WindowManager windowManager, String xml) {",0
Try-catch blocks should not be nested,Extract this nested try block into a separate method.,"Can you put one log msg here, to indicate the detection of the "".properties"" file change, like line 376 for "".job"" change?
",          try {,0
Hard-coded credentials are security-sensitive,Remove this hard-coded password.,"If you intend to use the super-user, you may refer the account and password in IoTDBConstant.","          config.rpcPort + ""/"", ""root"", ""root"")) {",0
Unnecessary imports should be removed,Remove this unused import 'java.util.Collections'.,Do we need these imports?,import java.util.Collections;,1
Generic exceptions should never be thrown,Define and throw a dedicated exception instead of using a generic one.,Start and end time are not Iso format; you might want to rename the variable.,"  public String runAutoTune(Long functionId, Long startTimeIso, Long endTimeIso, String autoTuneType) throws Exception {",0
Unused local variables should be removed,"Remove this unused ""configKeys"" local variable.","Remove this line, and ""import HashSet""",    Set<String> configKeys = new HashSet<>();,1
Static non-final field names should comply with a naming convention,"Rename this field ""default_db_replica_quota_size"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","The 1000000 is too small.  In meituan.com, the replica number for one database has exceeded 1000000. I think your initial value 1024 * 1024 * 1024 is OK.",    public static long default_db_replica_quota_size = 1000000;,0
Sections of code should not be commented out,This block of commented-out lines of code should be removed.,"There is a way to use `Map.of`. Described in my [Run on JDK8, use JDK11 APIs post](http://wiki.apidesign.org/wiki/AlternativeImplementation) - if you believe this case deserves that design pattern (I don't), feel free to do implement it.","            // modules on modern JDKs should prefere immutable collections anyway, e.g Map.of();",0
Method names should comply with a naming convention,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,"It would be good to have `@since` flag here, and the module's specification version updated, + ideally apichanges.xml updated.
Also, possibly, deprecate the old API method above?",    public Tree BindingPattern(VariableTree vt) {,0
Methods should not be empty,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",why deserialize do not implementation？ How to deserialize this execution plan?,  public void deserialize(ByteBuffer buffer) throws IllegalPathException {},0
Using pseudorandom number generators (PRNGs) is security-sensitive,Make sure that using this pseudorandom number generator is safe here.,"All tests need to use the `Random` that is passed in so that the values that are generated are deterministic and repeatable. That's what allows us to generated an iterator instead of a list in some cases, and makes it so if we do have a problem, we can repeat the test and debug.",  private static final Random NEGATIVE_VALUES = new Random();,0
Sections of code should not be commented out,This block of commented-out lines of code should be removed.,Why do you comment it?,"    //    try {
MethodDeclaration     //      IoTDB.schemaProcessor.deleteLastCacheByDevice(deviceId);
MethodDeclaration     //    } catch (MetadataException e) {
MethodDeclaration     //      // the path doesn't cache in cluster mode now, ignore
MethodDeclaration     //    }",1
"""for"" loop stop conditions should be invariant",Refactor the code in order to not assign to this loop counter from within the loop body.,Can you restructure the (outer) loop so that it is a while with some condition rather than a `for(i = ..)` in which we change the loop counter? I understand it was already that way.,            i = -1;,0
Unused assignments should be removed,"Remove this useless assignment to local variable ""!unknown!"".",Do we need to worry about the scenario if we have multiple dagManagers or is that not in scope of this PR?,          Collection<DagActionStore.DagAction> dagActions = dagActionStore.get().getDagActions();,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,Same here,         * TODO: Fix in https://issues.apache.org/jira/browse/IGNITE-15285,0
Deprecated code should be removed,Do not forget to remove this deprecated code someday.,We better keep this method for compatibility.,"  public static Configuration fromMap(Map<String, String> map) {",0
Local variable and method parameter names should comply with a naming convention,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,setThriftClass also change the method param name  to thriftClass,    public void set_thriftClass(String _thriftClass) {,1
Asserts should not be used to check the parameters of a public method,Replace this assert with a proper check.,Let's go with BIG_ENDIAN since we still write in BIG_ENDIAN to rocks,        assert buf.order() == ByteOrder.LITTLE_ENDIAN;,0
Constants should not be defined in interfaces,Move constants defined in this interfaces to another class or enum.,"    String DORIS_FILTER_QUERY_IN_VALUE_MAX = ""doris.filter.query.in.max_count"";","    String DORIS_FILTER_QUERY_IN_VALUE_MAX = ""doris.filter.query.in.value.max"";",0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,"isn't this as simple as setting endingOffset = Math.min(endingOffset, startingOffset + maxRecordsLimit); 
I see maxRecordsLimit is not used as of now. or am I missing something",    // TODO support capping the amount of records fetched,0
Field names should comply with a naming convention,"Rename this field ""_sslContext"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",private,"  Map<String, String> _headers = new HashMap<>();
FieldDeclaration   String _scheme = CommonConstants.HTTP_PROTOCOL;
FieldDeclaration   SSLContext _sslContext = null;",0
Methods should not return constants,Remove this method and declare a constant for this value.,"Rather than overriding this several places and using a generic string here to avoid making this class abstract, I suggest passing the `MetadataTableType` in through the constructor so this just returns `tableType.name()`.","    return ""static"";",0
Delivering code in production with debug features activated is security-sensitive,Make sure this debug feature is deactivated before delivering the code in production.,Use logger.,              e.printStackTrace();,1
Standard outputs should not be used directly to log anything,Replace this use of System.out or System.err by a logger.,Would it be better to use logger instead?,"            System.out.println(elem.getKey() + "" "" + elem.getValue());",1
"Non-primitive fields should not be ""volatile""","Use a thread-safe type; adding ""volatile"" is not enough to make this field thread-safe.","Can't this thing just be a `newDeltaFilePageStoreIoFuture` listener? Is there a necessity for a specific field and a specific functional interface? Looks over-engineered, but maybe I'm wrong",    private volatile @Nullable CompleteCreationDeltaFilePageStoreIoCallback completeCreationDeltaFilePageStoreIoCallback;,0
String literals should not be duplicated,"Define a constant instead of duplicating this literal "" has install."" 3 times.","                throw new UserException(""plugin "" + info.getName() + "" has already been installed."");","                throw new UserException(""plugin "" + info.getName() + "" has install."");",0
Boolean expressions should not be gratuitous,"Remove this expression which always evaluates to ""true""",Is there a case when `removedPreviousMetadata` will be null?,    if (deleteAfterCommit && removedPreviousMetadata != null) {,1
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""MV cast is not supported for type - "" 4 times.","(nit) suggest changing the message to `""Cast is not supported on multi-value column to target type: "" + targetType`","            throw new IllegalArgumentException(""MV cast is not supported for type - "" + targetType);",0
"The diamond operator (""<>"") should be used","Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)","Hi @rmpifer thanks for your contribution 
 It seems ` rec1.getKey()` equals  `rec2.getKey()` ? each of them is ok.","      return new HoodieRecord<T>(reducedKey, reducedData);",0
"Unused ""private"" fields should be removed","Remove this unused ""namingControl"" private field.","*[UnusedVariable](https://errorprone.info/bugpattern/UnusedVariable):*  The field SimpleName is never read.

(at-me [in a reply](https://help.sonatype.com/lift/talking-to-lift) with `help` or `ignore`)

---

Was this a good recommendation?
[ [? Not relevant](https://www.sonatype.com/lift-comment-rating?comment=269943434&lift_comment_rating=1) ] - [ [? Won't fix](https://www.sonatype.com/lift-comment-rating?comment=269943434&lift_comment_rating=2) ] - [ [? Not critical, will fix](https://www.sonatype.com/lift-comment-rating?comment=269943434&lift_comment_rating=3) ] - [ [? Critical, will fix](https://www.sonatype.com/lift-comment-rating?comment=269943434&lift_comment_rating=4) ] - [ [? Critical, fixing now](https://www.sonatype.com/lift-comment-rating?comment=269943434&lift_comment_rating=5) ]",    private final NamingControl namingControl;,1
Unused local variables should be removed,"Remove this unused ""asslConfigs"" local variable.",Why not rename to `sslConfigs`?,"    Map<String, Object> asslConfigs = configs.entrySet().stream()",0
Constant names should comply with a naming convention,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,"Let's name them `IntLongPair`, `LongLongPair` etc so that they are more generic, and can be reused in the future","    IntValueTimePair(27),",1
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,TODO with no ticket.,"            colChg.changeDefaultValue(col.defaultValue().toString()); // TODO: specify ""default type"" type",1
"Unused ""private"" fields should be removed","Remove this unused ""customInitScript"" private field.","Actually, I think it's not a good idea that introduce new field named `customInitScript` because this field is similar to `initScript`. Users may feel confused about those two fields. 
My proposal is using some special prefix. For example, if there is no prefix, means that read file from ""resources""; if the path has some special prefix, like ""file:/opt/xxx"" means that we read from file system. 
If we want, we could support read those files from remote server, for example supporting ""http://xxx/xxx/file"".

But actually, it's not a good idea either.  ",    private String customInitScript;,0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""Unable to read the footer of the avro file: "" 3 times.",Wrong type here,"      throw new RuntimeException(""Unable to read the footer of the avro file: "" +",0
Math operands should be cast before assignment,"Cast one of the operands of this multiplication operation to a ""long"".","The unit is wrong. This is not a ""byte size"", but a ""number of"" replicas.",    public static long default_db_replica_quota_bytes = 1024 * 1024 * 1024;,0
"Non-primitive fields should not be ""volatile""","Use a thread-safe type; adding ""volatile"" is not enough to make this field thread-safe.","It can't be null after `start`, are you sure that `@Nullable` is really necessary here?",    @Nullable private volatile StorageRoots storageRoots;,0
Nested blocks of code should not be left empty,Either remove or fill this block of code.,remove this,      } else {,1
Field names should comply with a naming convention,"Rename this field ""_segmentName"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",private final for all vars please,  String _segmentName;,0
Unused assignments should be removed,"Remove this useless assignment to local variable ""count"".",Remove this.,    int count = batchIterator.totalLength();,1
Field names should comply with a naming convention,"Rename this field ""_mostRecentErrorRunMessage"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","  private final TreeMap<Long, String> _mostRecentErrorRunMessages;","  private final TreeMap<Long, String> _mostRecentErrorRunMessage;",0
Abstract classes without fields should be converted to interfaces,"Convert the abstract class ""CreateFixBase"" into an interface. (sonar.java.source not set. Assuming 8 or greater.)","This might deserve some versioning, but there is implementation dependency in java.lsp.server anyway:
                    <code-name-base>org.netbeans.modules.java.hints</code-name-base>
                    <build-prerequisite/>
                    <compile-dependency/>
                    <run-dependency>
                        <release-version>1</release-version>
                        <implementation-version/>
                    </run-dependency>",public abstract class CreateFixBase implements Fix {,0
Field names should comply with a naming convention,"Rename this field ""_brokerMetrics"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",Why not put this in base class?,  private BrokerMetrics _brokerMetrics;,0
Unnecessary imports should be removed,Remove this unused import 'org.apache.ignite.internal.processors.cache.CacheGroupContext'.,Unused import,import org.apache.ignite.internal.processors.cache.CacheGroupContext;,1
Field names should comply with a naming convention,"Rename this field ""_inSegmentTrimLimit"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","Since we need it for testing purpose, let's directly make it configurable as `_minSegmentTrimSize` and default to 5000",  private int _inSegmentTrimLimit = -1;,0
"Unused ""private"" fields should be removed","Remove this unused ""lastSelectedUnseqFiles"" private field.","It seems that these two fields are useless, please check.",  private List<TsFileResource> lastSelectedUnseqFiles;,1
Deprecated code should be removed,Do not forget to remove this deprecated code someday.,"Maybe a silly question, do we need to do this?  Will it be backward compatible if we just have everything go to ContentScanTask version given its a supertype?","  public static Map<Integer, ?> constantsMap(FileScanTask task, BiFunction<Type, Object, Object> convertConstant) {",0
Sections of code should not be commented out,This block of commented-out lines of code should be removed.,这个license不需要了吧？直接去掉吧？,"// Licensed under the Apache License, Version 2.0 (the ""License"");",1
Lambdas should be replaced with method references,Replace this lambda with a method reference. (sonar.java.source not set. Assuming 8 or greater.),Would it be possible to use the RequestProcessor API ? That way the default Lookup (and connection to the appropriate LSP client) will be transferred to the `supplier` thread.,                CompletableFuture.supplyAsync(supplier).thenAccept(t -> {,1
Field names should comply with a naming convention,"Rename this field ""Onboard_Resource_ENDPOINT"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","1. Make these variables static and final.
2. Capitalize these variable names.","  private String Onboard_Resource_ENDPOINT = ""/onboard/"";",1
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,"Good questions!

### 1. getFormattedMessage/getMessage/getParameters

JUL `LogRecord` and the log4j-api `Message` are similar in that they both provide a raw format string, and a parameter array. However, the log4j-api encodes how the format and parameters are combined in the `Message` implementation (`getFormattedMessage` + `formatTo(StringBuilder)` handle formatting) where JUL (default formatters anyhow) use [java.text.MessageFormat.format](https://github.com/openjdk/jdk/blob/dfacda488bfbe2e11e8d607a6d08527710286982/src/java.logging/share/classes/java/util/logging/Formatter.java#L92-L150).

Given that, we don't want to use `getFormat()` and definitely don't want to set the parameters here, otherwise there's JUL may do substitution on the user-provided message...and we don't want to go there again ;-)

### 2. Logger name/fqcn

We definitely want to set the logger name to `getName` which is the name of the logger as requested from the LogManager.
The `fqcn` is the fully qualified name of the logger implementation, e.g. `org.apache.logging.log4j.tojul.JULLogger`. This is useful to find the call-site, where we can traverse just above that fqcn. JUL supports this sort of thing using `getSourceClassName ` and `getSourceMethodName`, so it may be a good idea to support the functionality here, otherwise the `LogRecord` will always report `JULLogger.logMessage` as the caller. I'd subclass LogRecord to lazily evaluate the call-site when it's requested given the compute cost of StackWalker/etc.","        LogRecord record = new LogRecord(julLevel, message.getFormattedMessage()); // TODO getFormat() or getFormattedMessage() ?
ExpressionStmt         record.setLoggerName(getName()); // TODO getName() or fqcn parameter? What's that?
ExpressionStmt         record.setParameters(message.getParameters());",0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,I'll create a follow-up PR.,        // TODO: response.setBreakpoints(...);,1
"""@Deprecated"" code should not be used","Remove this use of ""newInstance""; it is deprecated.","Perhaps we should add a runtime check to ensure we're not instantiating arbitrary unexpected classes?
java
if (AsyncWaitStrategyFactory.class.isAssignableFrom(klass)) {
    return klass.newInstance();
}
LOGGER.error(""Factory '{}' is not assignable to AsyncWaitStrategyFactory"", factoryClassName);
return null;","            final Class<? extends AsyncWaitStrategyFactory> klass = (Class<? extends AsyncWaitStrategyFactory>) Loader.loadClass(factoryClassName);
CatchClause             return klass.newInstance();",0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""tables"" 15 times.",Use the Constant `TABLES` you created here.,"    return StringUtil.join(""/"", StringUtils.chomp(_baseUrl, ""/""), ""tenants"", tenantName, ""tables"");",1
Collection.isEmpty() should be used to test for emptiness,Use isEmpty() to check whether the collection is empty or not.,Wouldn't an easier check be to check if limitAndOffset.size() == 0 ? I don't think you need an explicit boolean to determine when to get all in that case.,    if (conditions.size() == 0 && (this.getGetAll() == null || !this.getGetAll())) {,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,I guess you should make your mind. There is nobody to answer that TODO question otherwise. Or am I wrong @mkleint?,                File file = s.getFile(); // TODO perhaps needs patching,1
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,Will we implement this in a follow-up?,    // TODO: handle namespaces,1
Raw types should not be used,Provide the parametrized type for this generic.,Better define this `60` as a static field in frontend of the class,"        return newDaemonThreadPool(0, maxNumThread, 60L, TimeUnit.SECONDS, new SynchronousQueue(), new LogDiscardPolicy(poolName), poolName);",0
Return values should not be ignored when they contain the operation status code,"Do something with the ""boolean"" value returned by ""delete"".",Don't forget to close FileChannel in finally block~,"      try (FileOutputStream fileOutputStream = new FileOutputStream(tmpFile);
BlockStmt           FileChannel fileChannel = fileOutputStream.getChannel()) {
BlockStmt         fileChannel.write(byteBuffer);
BlockStmt       }
BlockStmt       // rename file
BlockStmt       return tmpFile.renameTo(snapshotFile);
BlockStmt     } finally {
ExpressionStmt       unlockAllRead();
ExpressionStmt       byteBuffer.clear();
ExpressionStmt       // with or without success, delete temporary files anyway
ExpressionStmt       tmpFile.delete();",0
"Unused ""private"" fields should be removed","Remove this unused ""wechatSetting"" private field.",Different naming style. Please fix.,"    private SlackSettings slacks;
FieldDeclaration     private WechatSettings wechatSetting;",0
Utility classes should not have public constructors,Add a private constructor to hide the implicit public one.,Split into multi classes.,public class InfluxDBUtils {,0
"Return of boolean expressions should not be wrapped into an ""if-then-else"" statement",Replace this if-then-else statement by a single return statement.,"Wow.  That can be a thing?  Yeesh. 
",    if (type.getSimpleName().length() == 0) {,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,can you elaborate on this TODO?,    // TODO: resumable uploads https://developers.google.com/photos/library/guides/resumable-uploads,1
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""
1) "" 20 times.","Ha.  Can you actually change all these to assertEquals(1, expected.getErrorMessages().size()) ? ... not sure why I didn't do that in the first place.
","      assertContains(expected.getMessage(), ""\n1) "" + jitFailed(ScopedFooImpl.class));",0
"Unused ""private"" fields should be removed","Remove this unused ""WRONG_TYPE_MESSAGE"" private field.",Remove it :D,  private final String WRONG_TYPE_MESSAGE =,1
Methods should not have too many parameters,"Method has 9 parameters, which is greater than 7 authorized.","rename this to ingraphDashboardConfig
","  public String createMetricConfig(@QueryParam(""name"") String name,",0
Generic exceptions should never be thrown,Define and throw a dedicated exception instead of using a generic one.,"Can we use a more concrete exception class like IOException? Using Exception kind of defeats the purpose of static exception checking.
",  private void commitDataset(JobState.DatasetState datasetState) throws Exception {,1
Unused local variables should be removed,"Remove this unused ""gf"" local variable.",Unused variable.,        GradleFiles gf = ((NbGradleProjectImpl) project).getGradleFiles();,1
"Constructors of an ""abstract"" class should not be declared ""public""","Change the visibility of this constructor to ""protected"".","@yihua @xushiyan let's chat more on this to make sure we're aligned on the approach going f/w:

I was thinking of keeping this component file-format agnostic and instead make it engine-specific, while refactoring MOR table read-path for efficient querying. 

Can you elaborate what's the goal you're striving for w/ `HoodieAvroRecord`?

P.S. Putting this context in here for somebody who might not be aware of previous conversations",public abstract class HoodieRecord<T> implements Serializable {,0
Generic exceptions should never be thrown,Define and throw a dedicated exception instead of using a generic one.,Use Utils.rethrow() to preserve the original exception. ,"      throw new RuntimeException(""Caught exception while initializing PinotFSFactory"", e);",1
Utility classes should not have public constructors,Add a private constructor to hide the implicit public one.,"This doesn't belong to the core, please move to the plugin.",    public static class GRPCLog {,0
Restricted Identifiers should not be used as Identifiers,Rename this variable to not match a restricted identifier.,"Good questions!

### 1. getFormattedMessage/getMessage/getParameters

JUL `LogRecord` and the log4j-api `Message` are similar in that they both provide a raw format string, and a parameter array. However, the log4j-api encodes how the format and parameters are combined in the `Message` implementation (`getFormattedMessage` + `formatTo(StringBuilder)` handle formatting) where JUL (default formatters anyhow) use [java.text.MessageFormat.format](https://github.com/openjdk/jdk/blob/dfacda488bfbe2e11e8d607a6d08527710286982/src/java.logging/share/classes/java/util/logging/Formatter.java#L92-L150).

Given that, we don't want to use `getFormat()` and definitely don't want to set the parameters here, otherwise there's JUL may do substitution on the user-provided message...and we don't want to go there again ;-)

### 2. Logger name/fqcn

We definitely want to set the logger name to `getName` which is the name of the logger as requested from the LogManager.
The `fqcn` is the fully qualified name of the logger implementation, e.g. `org.apache.logging.log4j.tojul.JULLogger`. This is useful to find the call-site, where we can traverse just above that fqcn. JUL supports this sort of thing using `getSourceClassName ` and `getSourceMethodName`, so it may be a good idea to support the functionality here, otherwise the `LogRecord` will always report `JULLogger.logMessage` as the caller. I'd subclass LogRecord to lazily evaluate the call-site when it's requested given the compute cost of StackWalker/etc.","        LogRecord record = new LogRecord(julLevel, message.getFormattedMessage()); // TODO getFormat() or getFormattedMessage() ?
ExpressionStmt         record.setLoggerName(getName()); // TODO getName() or fqcn parameter? What's that?
ExpressionStmt         record.setParameters(message.getParameters());",0
"The diamond operator (""<>"") should be used","Replace the type specification in this constructor call with the diamond operator (""<>""). (sonar.java.source not set. Assuming 7 or greater.)","Does this really need a recursive call to reproduce? Weird!
",      private static final ThreadLocal<Boolean> recursiveCall = new ThreadLocal<Boolean>();,0
"""public static"" fields should be constant","Make this ""public static EXCLUDED_CLIENT_TRACING_PEERS"" field final",Do you forget to remove all these?,            public static List<String> EXCLUDED_CLIENT_TRACING_PEERS = new LinkedList<>();,0
